Document Title,Main Section,Parent item,Page Numbers,Type Main,Filing Status,Relevant Dates,Google Drive File,Priority,Notes,Document Link,Sub-item,Detail Type,Related Evidence,Related Form,Tags,Type Combined,crea,Last edited time
0300–0399 EVIDENCE,0300–0399: EVIDENCE,,,Binder,Not Started,,,,,,"0350 – Bills, Receipts, Proof of Expenses (0350%20%E2%80%93%20Bills,%20Receipts,%20Proof%20of%20Expenses%201ebf84a044028084a099c50af8530847.csv), 0335 – Letters of Support / Affidavits (0335%20%E2%80%93%20Letters%20of%20Support%20Affidavits%201ebf84a044028029bb12f3e0dd0fc559.csv), 0345 – Criminal / Legal History (0345%20%E2%80%93%20Criminal%20Legal%20History%201ebf84a044028098bd7cd2f4c7aee919.csv), 0330 – Medical & Psychological Evaluations (0330%20%E2%80%93%20Medical%20&%20Psychological%20Evaluations%201ebf84a0440280d9984ceb7ebcb1f824.csv), 0340 – Country Reports / News Articles (0340%20%E2%80%93%20Country%20Reports%20News%20Articles%201ebf84a0440280519e34cf03413e0e84.csv), 0320 – Financial Evidence / Tax / Income (0320%20%E2%80%93%20Financial%20Evidence%20Tax%20Income%201ebf84a0440280bb8829eb9f0112a824.csv), 0315 – Proof of Relationship / Marriage (0315%20%E2%80%93%20Proof%20of%20Relationship%20Marriage%201ebf84a0440280b486f2f813e5cb898a.csv), 0310 – Proof of Entry / Parole (0310%20%E2%80%93%20Proof%20of%20Entry%20Parole%201ebf84a0440280c797f5ca1ab8c9f3a1.csv), 0300 – Master Evidence Index (0300%20%E2%80%93%20Master%20Evidence%20Index%201ebf84a04402809e894bd612650e799a.csv), 0325 – Employment Verification / Pay Stubs (0325%20%E2%80%93%20Employment%20Verification%20Pay%20Stubs%201f2f84a044028071b750fbfeaafbf2dd.csv), 0355 – Misc. Supporting Evidence (0355%20%E2%80%93%20Misc%20Supporting%20Evidence%201f2f84a0440280789bdddc9b5e112abe.csv)",Section,,NA,,Binder-Section-NA,"May 13, 2025 6:08 PM","June 22, 2025 5:43 AM"
0335 – Letters of Support / Affidavits,0300–0399: EVIDENCE,0300–0399 EVIDENCE (0300%E2%80%930399%20EVIDENCE%201f2f84a04402805a8fa7cada4b17faae.csv),,Evidence,Not Started,,,,,,,Letters,,NA,,Evidence-Letters-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0340 – Country Reports / News Articles,0300–0399: EVIDENCE,0300–0399 EVIDENCE (0300%E2%80%930399%20EVIDENCE%201f2f84a04402805a8fa7cada4b17faae.csv),,Evidence,Not Started,,,,,,,Reports,,NA,,Evidence-Reports-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
"0350 – Bills, Receipts, Proof of Expenses",0300–0399: EVIDENCE,0300–0399 EVIDENCE (0300%E2%80%930399%20EVIDENCE%201f2f84a04402805a8fa7cada4b17faae.csv),,Evidence,Not Started,,,,,,,Expenses,,NA,,Evidence-Expenses-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0345 – Criminal / Legal History,0300–0399: EVIDENCE,0300–0399 EVIDENCE (0300%E2%80%930399%20EVIDENCE%201f2f84a04402805a8fa7cada4b17faae.csv),,Evidence,Not Started,,,,,,,Criminal,,NA,,Evidence-Criminal-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0320 – Financial Evidence / Tax / Income,0300–0399: EVIDENCE,0300–0399 EVIDENCE (0300%E2%80%930399%20EVIDENCE%201f2f84a04402805a8fa7cada4b17faae.csv),,Evidence,Not Started,,,,,,,Financial,,NA,,Evidence-Financial-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0330 – Medical & Psychological Evaluations,0300–0399: EVIDENCE,0300–0399 EVIDENCE (0300%E2%80%930399%20EVIDENCE%201f2f84a04402805a8fa7cada4b17faae.csv),,Evidence,Not Started,,,,,,,Medical,,NA,,Evidence-Medical-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0300 – Master Evidence Index,0300–0399: EVIDENCE,0300–0399 EVIDENCE (0300%E2%80%930399%20EVIDENCE%201f2f84a04402805a8fa7cada4b17faae.csv),,Evidence,Not Started,,,,,,,Section Header,,NA,,Evidence-Section Header-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0315 – Proof of Relationship / Marriage,0300–0399: EVIDENCE,0300–0399 EVIDENCE (0300%E2%80%930399%20EVIDENCE%201f2f84a04402805a8fa7cada4b17faae.csv),,Evidence,Not Started,,,,,,,Relationship,,NA,,Evidence-Relationship-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0310 – Proof of Entry / Parole,0300–0399: EVIDENCE,0300–0399 EVIDENCE (0300%E2%80%930399%20EVIDENCE%201f2f84a04402805a8fa7cada4b17faae.csv),,Evidence,Not Started,,,,,,,Entry,,NA,,Evidence-Entry-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0460 – Transfers / Updates / Other Notices,0400–0499: USCIS / ICE / COURT CORRESPONDENCE,0400–0499: USCIS / ICE / COURT CORRESPONDENCE (0400%E2%80%930499%20USCIS%20ICE%20COURT%20CORRESPONDENCE%201ebf84a044028061b007d95e65f65dfc.csv),,Notice(s),Not Started,,,,,,,others,,NA,,Notice(s)-others-NA,"May 13, 2025 6:23 PM","June 22, 2025 5:43 AM"
0420 – RFE / NOID Letters,0400–0499: USCIS / ICE / COURT CORRESPONDENCE,0400–0499: USCIS / ICE / COURT CORRESPONDENCE (0400%E2%80%930499%20USCIS%20ICE%20COURT%20CORRESPONDENCE%201ebf84a044028061b007d95e65f65dfc.csv),,Notice(s),Not Started,,,,,,,,,RFE-NOID,,Notice(s)--RFE-NOID,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0416 – Case Transfer or Action Notices,0400–0499: USCIS / ICE / COURT CORRESPONDENCE,0400–0499: USCIS / ICE / COURT CORRESPONDENCE (0400%E2%80%930499%20USCIS%20ICE%20COURT%20CORRESPONDENCE%201ebf84a044028061b007d95e65f65dfc.csv),,Notice(s),Not Started,,,,,,,Action(s),,NA,,Notice(s)-Action(s)-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0430 – ICE Appointment Letters,0400–0499: USCIS / ICE / COURT CORRESPONDENCE,0400–0499: USCIS / ICE / COURT CORRESPONDENCE (0400%E2%80%930499%20USCIS%20ICE%20COURT%20CORRESPONDENCE%201ebf84a044028061b007d95e65f65dfc.csv),,Notice(s),Not Started,,,,,,,Appointments,,NA,,Notice(s)-Appointments-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0440 – Court Hearing Notices,0400–0499: USCIS / ICE / COURT CORRESPONDENCE,0400–0499: USCIS / ICE / COURT CORRESPONDENCE (0400%E2%80%930499%20USCIS%20ICE%20COURT%20CORRESPONDENCE%201ebf84a044028061b007d95e65f65dfc.csv),,Notice(s),Not Started,,,,,,,Hearings,,NA,,Notice(s)-Hearings-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0450 – Decision Notices (Approved/Denied),0400–0499: USCIS / ICE / COURT CORRESPONDENCE,0400–0499: USCIS / ICE / COURT CORRESPONDENCE (0400%E2%80%930499%20USCIS%20ICE%20COURT%20CORRESPONDENCE%201ebf84a044028061b007d95e65f65dfc.csv),,Notice(s),Not Started,,,,,,,Decisions,,NA,,Notice(s)-Decisions-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0400 – USCIS Notices (I-797Cs),0400–0499: USCIS / ICE / COURT CORRESPONDENCE,0400–0499: USCIS / ICE / COURT CORRESPONDENCE (0400%E2%80%930499%20USCIS%20ICE%20COURT%20CORRESPONDENCE%201ebf84a044028061b007d95e65f65dfc.csv),,Notice(s),Not Started,,,,,,,USCIS,,I-797C(s),,Notice(s)-USCIS-I-797C(s),"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0400–0499: USCIS / ICE / COURT CORRESPONDENCE,0400–0499: USCIS / ICE / COURT CORRESPONDENCE,,,Binder,Not Started,,,,,,"0416 – Case Transfer or Action Notices (0416%20%E2%80%93%20Case%20Transfer%20or%20Action%20Notices%201ebf84a0440280ad9094d48f462bcd7f.csv), 0450 – Decision Notices (Approved/Denied) (0450%20%E2%80%93%20Decision%20Notices%20(Approved%20Denied)%201ebf84a0440280fa8ce5d2f33dc922a8.csv), 0440 – Court Hearing Notices (0440%20%E2%80%93%20Court%20Hearing%20Notices%201ebf84a0440280f39ddffb667adfab05.csv), 0430 – ICE Appointment Letters (0430%20%E2%80%93%20ICE%20Appointment%20Letters%201ebf84a0440280ad9208f0c0965248ef.csv), 0420 – RFE / NOID Letters (0420%20%E2%80%93%20RFE%20NOID%20Letters%201ebf84a044028016bd38e2532a59ec83.csv), 0410 – Biometrics Notices (0410%20%E2%80%93%20Biometrics%20Notices%201ebf84a0440280759b56e7095175ac84.csv), 0400 – USCIS Notices (I-797Cs) (0400%20%E2%80%93%20USCIS%20Notices%20(I-797Cs)%201ebf84a04402803ab694da4415b7b791.csv), 0460 – Transfers / Updates / Other Notices (0460%20%E2%80%93%20Transfers%20Updates%20Other%20Notices%201f2f84a044028042a085c3469477a815.csv)",Section,,NA,,Binder-Section-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0410 – Biometrics Notices,0400–0499: USCIS / ICE / COURT CORRESPONDENCE,0400–0499: USCIS / ICE / COURT CORRESPONDENCE (0400%E2%80%930499%20USCIS%20ICE%20COURT%20CORRESPONDENCE%201ebf84a044028061b007d95e65f65dfc.csv),,Notice(s),Not Started,,,,,,,BIO,,NA,,Notice(s)-BIO-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0501___Consejos de inmigración,0500–0599: LEGAL SUPPORT MATERIAL,0500 – Attorney / Representative Notes (0500%20%E2%80%93%20Attorney%20Representative%20Notes%201ebf84a04402800a9cb5c0686b605835.csv),,Email,Pending,"December 2, 2024 8:11 AM (EST)",,Medium,,,,,,,,Email--,"June 22, 2025 5:49 AM","June 22, 2025 5:58 AM"
0540 – Interpreter Certifications,0500–0599: LEGAL SUPPORT MATERIAL,0500 – LEGAL NOTES & SUPPORT MATERIAL (0500%20%E2%80%93%20LEGAL%20NOTES%20&%20SUPPORT%20MATERIAL%201ebf84a0440280b4a302f22b7971fc66.csv),,Note(s),Not Started,,,,,,,Interpreter,,NA,,Note(s)-Interpreter-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0550 – Filing Fee Receipts,0500–0599: LEGAL SUPPORT MATERIAL,0500 – LEGAL NOTES & SUPPORT MATERIAL (0500%20%E2%80%93%20LEGAL%20NOTES%20&%20SUPPORT%20MATERIAL%201ebf84a0440280b4a302f22b7971fc66.csv),,Note(s),Not Started,,,,,,,Filing Receipts,,NA,,Note(s)-Filing Receipts-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0500 – Attorney / Representative Notes,0500–0599: LEGAL SUPPORT MATERIAL,0500 – LEGAL NOTES & SUPPORT MATERIAL (0500%20%E2%80%93%20LEGAL%20NOTES%20&%20SUPPORT%20MATERIAL%201ebf84a0440280b4a302f22b7971fc66.csv),,Note(s),Not Started,,,,,,0501___Consejos de inmigración (0501___Consejos%20de%20inmigraci%C3%B3n%2021af84a0440280f3bc1feffb6f839a89.csv),Attorney-Rep,,NA,,Note(s)-Attorney-Rep-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:57 AM"
0510 – USCIS Policy Memos,0500–0599: LEGAL SUPPORT MATERIAL,0500 – LEGAL NOTES & SUPPORT MATERIAL (0500%20%E2%80%93%20LEGAL%20NOTES%20&%20SUPPORT%20MATERIAL%201ebf84a0440280b4a302f22b7971fc66.csv),,Note(s),Not Started,,,,,,,USCIS,,NA,,Note(s)-USCIS-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0520 – Case Law or Comparisons,0500–0599: LEGAL SUPPORT MATERIAL,0500 – LEGAL NOTES & SUPPORT MATERIAL (0500%20%E2%80%93%20LEGAL%20NOTES%20&%20SUPPORT%20MATERIAL%201ebf84a0440280b4a302f22b7971fc66.csv),,Note(s),Not Started,,,,,,,Case Law,,NA,,Note(s)-Case Law-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0530 – FOIA Results,0500–0599: LEGAL SUPPORT MATERIAL,0500 – LEGAL NOTES & SUPPORT MATERIAL (0500%20%E2%80%93%20LEGAL%20NOTES%20&%20SUPPORT%20MATERIAL%201ebf84a0440280b4a302f22b7971fc66.csv),,Note(s),Not Started,,,,,,,FOIA,,NA,,Note(s)-FOIA-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0500 – LEGAL NOTES & SUPPORT MATERIAL,0500–0599: LEGAL SUPPORT MATERIAL,,,Binder,Not Started,,,,,,"0550 – Filing Fee Receipts (0550%20%E2%80%93%20Filing%20Fee%20Receipts%201ebf84a0440280e99accd89681248a71.csv), 0540 – Interpreter Certifications (0540%20%E2%80%93%20Interpreter%20Certifications%201ebf84a0440280a1b36cdd62d123cc39.csv), 0530 – FOIA Results (0530%20%E2%80%93%20FOIA%20Results%201ebf84a04402805eaeebe916987fd60d.csv), 0520 – Case Law or Comparisons (0520%20%E2%80%93%20Case%20Law%20or%20Comparisons%201ebf84a04402805791e1eda0e428d280.csv), 0510 – USCIS Policy Memos (0510%20%E2%80%93%20USCIS%20Policy%20Memos%201ebf84a04402801c8079dacde323e947.csv), 0500 – Attorney / Representative Notes (0500%20%E2%80%93%20Attorney%20Representative%20Notes%201ebf84a04402800a9cb5c0686b605835.csv)",Section,,NA,,Binder-Section-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0690 – Archive / Old Versions,0600–0699: OPTIONAL & INTERNAL USE,0600–0699: OPTIONAL & INTERNAL USE (0600%E2%80%930699%20OPTIONAL%20&%20INTERNAL%20USE%201f2f84a04402800b81d7fc18e50a9a45.csv),,Internal,Not Started,,,,,,,Archive,,NA,,Internal-Archive-NA,"May 13, 2025 6:24 PM","June 22, 2025 5:43 AM"
0640 – Internal Notes (Not shared),0600–0699: OPTIONAL & INTERNAL USE,0600–0699: OPTIONAL & INTERNAL USE (0600%E2%80%930699%20OPTIONAL%20&%20INTERNAL%20USE%201f2f84a04402800b81d7fc18e50a9a45.csv),,Internal,Not Started,,,,,,,Notes,,NA,,Internal-Notes-NA,"May 13, 2025 6:24 PM","June 22, 2025 5:43 AM"
0630 – Task Checklist / To-Dos,0600–0699: OPTIONAL & INTERNAL USE,0600–0699: OPTIONAL & INTERNAL USE (0600%E2%80%930699%20OPTIONAL%20&%20INTERNAL%20USE%201f2f84a04402800b81d7fc18e50a9a45.csv),,Internal,Not Started,,,,,,,Tasks,,NA,,Internal-Tasks-NA,"May 13, 2025 6:24 PM","June 22, 2025 5:43 AM"
0620 – Translations (if applicable),0600–0699: OPTIONAL & INTERNAL USE,0600–0699: OPTIONAL & INTERNAL USE (0600%E2%80%930699%20OPTIONAL%20&%20INTERNAL%20USE%201f2f84a04402800b81d7fc18e50a9a45.csv),,Internal,Not Started,,,,,,,Translations,,NA,,Internal-Translations-NA,"May 13, 2025 6:24 PM","June 22, 2025 5:43 AM"
0610 – Drafts & Worksheets,0600–0699: OPTIONAL & INTERNAL USE,0600–0699: OPTIONAL & INTERNAL USE (0600%E2%80%930699%20OPTIONAL%20&%20INTERNAL%20USE%201f2f84a04402800b81d7fc18e50a9a45.csv),,Internal,Not Started,,,,,,,Drafts,,NA,,Internal-Drafts-NA,"May 13, 2025 6:24 PM","June 22, 2025 5:43 AM"
"0600 – Communications Log (Calls, Notes)",0600–0699: OPTIONAL & INTERNAL USE,0600–0699: OPTIONAL & INTERNAL USE (0600%E2%80%930699%20OPTIONAL%20&%20INTERNAL%20USE%201f2f84a04402800b81d7fc18e50a9a45.csv),,Internal,Not Started,,,,,,,Logs,,NA,,Internal-Logs-NA,"May 13, 2025 6:24 PM","June 22, 2025 5:43 AM"
0600–0699: OPTIONAL & INTERNAL USE,0600–0699: OPTIONAL & INTERNAL USE,,,Internal,Not Started,,,,,,"0600 – Communications Log (Calls, Notes) (0600%20%E2%80%93%20Communications%20Log%20(Calls,%20Notes)%201f2f84a044028056b021f76fd081efee.csv), 0610 – Drafts & Worksheets (0610%20%E2%80%93%20Drafts%20&%20Worksheets%201f2f84a0440280b693f4d6b91f31f547.csv), 0620 – Translations (if applicable) (0620%20%E2%80%93%20Translations%20(if%20applicable)%201f2f84a0440280599a25ccd8538ed298.csv), 0630 – Task Checklist / To-Dos (0630%20%E2%80%93%20Task%20Checklist%20To-Dos%201f2f84a0440280d6a70cd487da871e4d.csv), 0640 – Internal Notes (Not shared) (0640%20%E2%80%93%20Internal%20Notes%20(Not%20shared)%201f2f84a04402800e844cd5157ba0fcd6.csv), 0690 – Archive / Old Versions (0690%20%E2%80%93%20Archive%20Old%20Versions%201f2f84a0440280eca210e092905136a2.csv)",Section,,NA,,Internal-Section-NA,"May 13, 2025 6:24 PM","June 22, 2025 5:43 AM"
I-601 Application for Waiver of Grounds of Inadmissibility,,,,,Not Started,,,,,,,,,,,--,"May 5, 2025 4:38 PM","June 22, 2025 5:45 AM"
Check Case Processing Times,,,,,Not Started,,,,,,,,,,,--,"May 5, 2025 4:22 PM","June 22, 2025 5:45 AM"
Check Case Processing Times,,,,,Not Started,,,,,,,,,,,--,"May 5, 2025 4:22 PM","June 22, 2025 5:45 AM"
I-130 Petition for Alien Relative,,,,,Not Started,,,,,,,,,,,--,"May 5, 2025 4:19 PM","June 22, 2025 5:45 AM"
I-601A Application for Provisional Unlawful Presence Waiver,,,,,Not Started,,,,,,,,,,,--,"May 5, 2025 4:18 PM","June 22, 2025 5:45 AM"
Joel: Paranoia & Behavior Log,,,,,Not Started,,,,,,,,,,,--,"April 16, 2025 3:48 PM","June 22, 2025 5:45 AM"
Resources,,,,,Not Started,,,,,,,,,,,--,"March 24, 2025 8:02 PM","June 22, 2025 5:47 AM"
RFE Response Page(s),,,,,Not Started,,,,,,,,,,RFE,--,"March 24, 2025 8:02 PM","June 22, 2025 5:47 AM"
Document Checklist,,,,,Not Started,,,,,,,,,,,--,"March 24, 2025 8:02 PM","June 22, 2025 5:47 AM"
130-PERS-MARR-CERTIFICATES,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 11:05 AM","June 22, 2025 5:47 AM"
250-FORM-VISA-DS260,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 11:03 AM","June 22, 2025 5:47 AM"
250-FORM-VISA: VISA PETITION PROCESS,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 11:02 AM","June 22, 2025 5:47 AM"
160-PERS-MISC: MISCELLANEOUS PERSONAL,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:59 AM","June 22, 2025 5:47 AM"
150-PERS-CERT: CERTIFICATES,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:59 AM","June 22, 2025 5:47 AM"
140-PERS-PASSPORT: PASSPORTS & TRAVEL,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:58 AM","June 22, 2025 5:47 AM"
130-PERS-MARR: MARIAGE & FAMILY,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:58 AM","June 22, 2025 5:47 AM"
"1202-PERS-BIO-BIOGRAPHIC FORMS (e.g., G-325)",,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:55 AM","June 22, 2025 5:47 AM"
1201-PERS-BIO-BIRTH CERTIFICATES,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:55 AM","June 22, 2025 5:47 AM"
1104-PERS-ID-SOCIAL SECURITY CARDS,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:55 AM","June 22, 2025 5:47 AM"
1103-PERS-ID-PASSPORTS,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:53 AM","June 22, 2025 5:47 AM"
1102-PERS-ID-NATIONAL IDS,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:53 AM","June 22, 2025 5:47 AM"
1101-PERS-ID-DRIVERS LICENSES AND STATE IDS,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:53 AM","June 22, 2025 5:47 AM"
1100-PERS-ID: IDENTIFICATIONS,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:53 AM","June 22, 2025 5:47 AM"
410-LEGAL-IMM-EOIR27,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:50 AM","June 22, 2025 5:47 AM"
410-LEGAL-IMM-EOIR28,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:50 AM","June 22, 2025 5:47 AM"
520-CORR-COM-EOIR33,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:50 AM","June 22, 2025 5:47 AM"
410-LEGAL-IMM-G28,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:49 AM","June 22, 2025 5:47 AM"
120-PERS-BIO: BIOGRAPHICAL INFORMATION,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:49 AM","June 22, 2025 5:47 AM"
230-FORM-WAV-I601A,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:47 AM","June 22, 2025 5:47 AM"
230-FORM-WAV-I601,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:46 AM","June 22, 2025 5:47 AM"
230-FORM-WAV-I601-601A,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:46 AM","June 22, 2025 5:47 AM"
210-FORM-PET-I130-PETITION FOR ALIEN RELATIVE,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:45 AM","June 22, 2025 5:47 AM"
2402.20151029-FORM-EA-I765-I797C-NOTICE OF ACTION NOTIFICATION OF RECEIPT ATTORNEY COPY,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:26 AM","June 22, 2025 5:47 AM"
2401.20151031-FORM-EA-I765-I767C-NOTICE OF ACTION BIOMETRICS APPOINTMENT,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:12 AM","June 22, 2025 5:47 AM"
240-FORM-EA-I765-Applications for Employment Authorization,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 10:10 AM","June 22, 2025 5:47 AM"
400 Legal and Case Records (LEGAL),,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 9:00 AM","June 22, 2025 5:47 AM"
300 Supporting Evidence (EVID),,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 9:00 AM","June 22, 2025 5:47 AM"
200 Immigration Forms and Applications (FORM),,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 8:59 AM","June 22, 2025 5:47 AM"
700 Asylum Case,,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 8:59 AM","June 22, 2025 5:47 AM"
600 Resources and References (RES),,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 8:59 AM","June 22, 2025 5:47 AM"
500 Attorney Correspondence (CORR),,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 8:59 AM","June 22, 2025 5:47 AM"
1000 Personal Information (PERS),,,,,Not Started,,,,,,,,,,,--,"January 12, 2025 8:59 AM","June 22, 2025 5:47 AM"
Support Letter Gerald and Susie Summers,,,,,Not Started,,,,,,,,,,,--,"January 6, 2025 12:29 PM","June 22, 2025 5:47 AM"
240-FORM-EA CARD,,,,,Not Started,,,,,,,,,,,--,"January 6, 2025 12:27 PM","June 22, 2025 5:47 AM"
"New Case Entry @January 6, 2025 12:25 PM ",,,,,Not Started,,,,,,,,,,,--,"January 6, 2025 12:25 PM","June 22, 2025 5:47 AM"
003_EVID-MISC_HISTORY_FAMILY_CODY,,,,,Not Started,,,,,,,,,,,--,"January 6, 2025 5:54 AM","June 22, 2025 5:47 AM"
I601_ARTICLES,,,,,Not Started,,,,,,,,,,,--,"January 6, 2025 5:45 AM","June 22, 2025 5:47 AM"
I601_EVID_DEBT_ALL,,,,,Not Started,,,,,,,,,,,--,"January 6, 2025 5:43 AM","June 22, 2025 5:47 AM"
I601_EVID_BILLS_CREDIT CARDS,,,,,Not Started,,,,,,,,,,,--,"January 6, 2025 5:43 AM","June 22, 2025 5:47 AM"
TENNESSEE,,,,,Not Started,,,,,,,,,,,--,"January 6, 2025 5:37 AM","June 22, 2025 5:47 AM"
HONDURAS,,,,,Not Started,,,,,,,,,,,--,"January 6, 2025 5:37 AM","June 22, 2025 5:47 AM"
KENTUCKY,,,,,Not Started,,,,,,,,,,,--,"January 6, 2025 5:37 AM","June 22, 2025 5:47 AM"
ASYLUM CASE DOCUMENTS,,,,,Not Started,,,,,,,,,,,--,"January 6, 2025 5:36 AM","June 22, 2025 5:47 AM"
001_PERS-ID001.05-EMPLOYMENT AUTHORIZATION CARDS (WORKPERMIT),,,,,Not Started,,,,,,,,,,,--,"January 6, 2025 5:19 AM","June 22, 2025 5:47 AM"
03.01.02. Economics,,,,,Not Started,,,,,,,,,,,--,"December 12, 2024 3:30 PM","June 22, 2025 5:47 AM"
03.01.01. Safety,,,,,Not Started,,,,,,,,,,,--,"December 12, 2024 3:28 PM","June 22, 2025 5:47 AM"
003_EVID-MISC_HISTORY,,,,,Not Started,,,,,,,,,,,--,"December 12, 2024 3:27 PM","June 22, 2025 5:47 AM"
006_RES-RESOURCES AND REFERENCE FOLDER,,,,,Not Started,,,,,,,,,,,--,"December 12, 2024 2:59 PM","June 22, 2025 5:47 AM"
Legal Strategy Notes,,,,,Not Started,,,,,,,,,,,--,"December 12, 2024 2:59 PM","June 22, 2025 5:47 AM"
Immigration Policies and Guides,,,,,Not Started,,,,,,,,,,,--,"December 12, 2024 2:59 PM","June 22, 2025 5:47 AM"
USCIS Evidence Guidelines,,,,,Not Started,,,,,,,,,,,--,"December 12, 2024 2:59 PM","June 22, 2025 5:47 AM"
Legal Case Precedents,,,,,Not Started,,,,,,,,,,,--,"December 12, 2024 2:59 PM","June 22, 2025 5:47 AM"
Case Updates,,,,,Not Started,,,,,,,,,,,--,"December 12, 2024 2:59 PM","June 22, 2025 5:47 AM"
005_CORR-CORRESPONDENCE FOLDER,,,,,Not Started,,,,,,,,,,,--,"December 12, 2024 2:59 PM","June 22, 2025 5:47 AM"
Correspondence with USCIS/Immigration Court,,,,,Not Started,,,,,,,,,,,--,"December 12, 2024 2:59 PM","June 22, 2025 5:47 AM"
04.02. Enhan’s Records,,,,,Not Started,,,,,,,,,,,--,"December 12, 2024 2:59 PM","June 22, 2025 5:47 AM"
Any Removal Proceedings,,,,,Not Started,,,,,,,,,,,--,"December 12, 2024 2:59 PM","June 22, 2025 5:47 AM"
Criminal History (if applicable),,,,,Not Started,,,,,,,,,,,--,"December 12, 2024 2:59 PM","June 22, 2025 5:47 AM"
004_LEGAL_Codys Records Personal History,,,,,Not Started,,,,,,,,,,,--,"December 12, 2024 2:59 PM","June 22, 2025 5:47 AM"
"004_LEGAL_Codys Records Criminal History (if any, for context in waivers)",,,,,Not Started,,,,,,,,,,,--,"December 12, 2024 2:59 PM","June 22, 2025 5:47 AM"
Immigration History,,,,,Not Started,,,,,,,,,,,--,"December 12, 2024 2:59 PM","June 22, 2025 5:47 AM"
004_LEGAL_Codys Records,,,,,Not Started,,,,,,,,,,,--,"December 12, 2024 2:59 PM","June 22, 2025 5:47 AM"
004_LEGAL-LEGAL AND CASE RECORDS FOLDER,,,,,Not Started,,,,,,,,,,,--,"December 12, 2024 2:59 PM","June 22, 2025 5:47 AM"
003_EVID-COM-Community Ties,,,,,Not Started,,,,,,,,,,,--,"December 12, 2024 2:59 PM","June 22, 2025 5:47 AM"
Volunteer Work or Civic Contributions,,,,,Not Started,,,,,,,,,,,--,"December 12, 2024 2:59 PM","June 22, 2025 5:47 AM"
003_EVID-REL-Relationship Evidence,,,,,Not Started,,,,,,,,,,,--,"December 12, 2024 2:59 PM","June 22, 2025 5:47 AM"
